USER;PASS
adam;-8586-76-39436411358-5290-8-103-123-44-73-122
adamko;-6661-93-35-9137111-11261-16-7820-107-65-61
kajko;-9910-3102-2537-861-933866-32-29-305357
kokosz;-81-79-126-108435-1182323-3221-91-586-12275
lukasz;-4185-101-1168045-22278335-816878-127-3220
kubakuba;110-33-115018117997612-84-25-972-48-36119
hohoho;-11713-62-2972685111652-7271818-92-112-85
abcde;-8586-76-39436411358-5290-8-103-123-44-73-122
hejaheja;80-43-122-495383-44-143-103-187-55-15117-43
hehehe;-1-27831057980-1067121-11252525053-982
kupa;29-10651234264-456981-12284-710382-243
kekeke;219113-77-110-16-7635-1049915-42104-83-193
kokoka;-112-35125-99-9953-6141-89-8485-16-91-10897108
